model,perturbation,norm_ratio,abs_ratio,top20_recall,top20_sign,top20_corr
CondAE,COG4,0.49458667635917664,0.39479419589042664,0.3,0.95,0.8240528300602065
CondAE,COG6,0.5856420993804932,0.4709808826446533,0.4,1.0,0.9163358142810877
CondAE,COMTD1,0.5591074228286743,0.49169978499412537,0.4,0.95,0.9093732997607004
CondAE,COPS2,0.8159952759742737,0.7858274579048157,0.6,1.0,0.9604932761012079
CondAE,COPS3,0.7867265939712524,0.7192646265029907,0.65,1.0,0.9786820847221637
CondAE,COPS4,0.8266322612762451,0.8123971819877625,0.6,1.0,0.9663401304026001
CondAE,COPS5,0.7448405623435974,0.6560640335083008,0.65,1.0,0.9748800920288561
CondAE,COPS8,0.4874151349067688,0.3858819603919983,0.4,1.0,0.8217786086836776
CondAE,COQ2,0.4088492691516876,0.34711354970932007,0.1,0.9,0.7618034269100351
CondAE,COQ4,0.5793218016624451,0.48810917139053345,0.5,1.0,0.9160252687558744
CondAE,COQ5,0.45025068521499634,0.34986943006515503,0.2,0.7,0.6118839324393455
CondAE,COTL1,0.6747186779975891,0.6222149729728699,0.4,1.0,0.9634067591873879
CondAE,COX10,0.5336123108863831,0.4314398765563965,0.4,0.9,0.2567686134019968
CondAE,COX11,0.478525847196579,0.41908928751945496,0.3,0.85,0.6616445100162913
CondAE,COX5A,0.8457399606704712,0.7380723357200623,0.7,1.0,0.9499103607979507
CondAE,COX7C,0.7961844801902771,0.7024833559989929,0.7,1.0,0.9551463666011694
CondAE,CPSF1,0.6174640655517578,0.5790414810180664,0.35,1.0,0.8815928565007516
CondAE,CPSF3,0.7515577077865601,0.7159797549247742,0.5,1.0,0.8524746498024207
CondAE,CPSF4,0.7388187050819397,0.6648918390274048,0.5,0.95,0.7940116764091538
CondAE,CPSF6,0.6900765299797058,0.6618478298187256,0.6,1.0,0.9258968466053209
CondAE,CS,0.5547145009040833,0.5133593082427979,0.25,1.0,0.8857439311001557
CondAE,CSDE1,0.6798264980316162,0.5796232223510742,0.55,1.0,0.9433391484711502
CondAE,CSE1L,0.8380827903747559,0.8133338093757629,0.6,1.0,0.9692796415804932
CondAE,CSNK2B,0.6101364493370056,0.570837140083313,0.35,0.85,0.622153652090769
CondAE,CSTF1,0.6402527689933777,0.6266701817512512,0.3,0.8,0.6773918946435538
CondAE,CSTF3,0.7202513813972473,0.6768218874931335,0.35,0.95,0.6473967458616569
CondAE,CTCF,0.6929548978805542,0.6076639890670776,0.5,1.0,0.9138158186368353
CondAE,CTDP1,0.5340004563331604,0.4585808515548706,0.35,0.85,0.7763969585947006
CondAE,CTNNBL1,0.6922668814659119,0.6143463850021362,0.4,1.0,0.9148947072474714
CondAE,CTU2,0.702568531036377,0.5775719881057739,0.5,1.0,0.9568772597600085
CondAE,CUL1,0.6622032523155212,0.579195499420166,0.45,0.95,0.9075849442226694
CondAE,CUL2,0.8183537721633911,0.7442094087600708,0.8,1.0,0.9809329553840869
CondAE,CUL7,0.8442193865776062,0.8029669523239136,0.7,0.95,0.8190885875054239
CondAE,CWC15,0.8225362300872803,0.8031374216079712,0.5,1.0,0.9472657978329001
CondAE,CWC22,0.8619143962860107,0.8617198467254639,0.65,1.0,0.9545525687289459
CondAE,CYC1,0.5904892683029175,0.525772213935852,0.45,0.95,0.8450327932387431
CondAE,CYFIP1,0.5376047492027283,0.4318073093891144,0.4,1.0,0.8904471257654863
CondAE,CYREN,0.7432007789611816,0.6011086702346802,0.75,0.95,0.8513608561192081
CondAE,DAP3,0.6498174071311951,0.5440968871116638,0.35,1.0,0.9321934522539095
CondAE,DARS,0.8630068898200989,0.8177371621131897,0.75,1.0,0.9789353274658757
CondAE,DAXX,0.6822153925895691,0.5785840749740601,0.5,1.0,0.8748213507830476
CondAE,DBR1,0.6747650504112244,0.6481279134750366,0.5,1.0,0.8793328680512594
CondAE,DCAF6,0.39800184965133667,0.3170374631881714,0.2,0.8,0.8395017331981669
CondAE,DCTN1,0.6741113066673279,0.6170204877853394,0.4,1.0,0.909471325233967
CondAE,DCTN2,0.7885949015617371,0.6660099029541016,0.7,1.0,0.9565346249136396
CondAE,DCTN3,0.7681012749671936,0.6799300909042358,0.6,1.0,0.9444860218290377
CondAE,DCTN4,0.746951162815094,0.6350265145301819,0.65,1.0,0.9478720863120004
CondAE,DCTN6,0.7397791743278503,0.6144272685050964,0.6,1.0,0.960514060713366
CondAE,DCUN1D5,0.854705810546875,0.794815719127655,0.8,1.0,0.9314199133120511
CondAE,DDOST,0.6920413970947266,0.6015366911888123,0.6,1.0,0.8223439842786561
CondAE,DDX1,0.48179227113723755,0.39496076107025146,0.4,1.0,0.8199040338549124
CondAE,DDX10,0.9062421917915344,0.8814703822135925,0.7,1.0,0.9700673041397484
CondAE,DDX17,0.4723834991455078,0.42725664377212524,0.3,0.9,0.7243680427495546
CondAE,DDX18,0.8720460534095764,0.8523298501968384,0.7,1.0,0.9443194573433905
CondAE,DDX19A,0.4187471866607666,0.3539622724056244,0.2,0.9,0.7053518236781082
CondAE,DDX20,0.732257604598999,0.6995313167572021,0.35,1.0,0.8233760360622423
CondAE,DDX21,0.8889011144638062,0.8538401126861572,0.75,1.0,0.962749177807018
CondAE,DDX23,0.8510545492172241,0.8167238235473633,0.7,1.0,0.9745852495122178
CondAE,DDX27,0.897819459438324,0.8316072821617126,0.8,1.0,0.9793478195835266
CondAE,DDX3X,0.4594796895980835,0.37731727957725525,0.35,0.95,0.8361144449258366
CondAE,DDX41,0.863137423992157,0.8642833828926086,0.6,1.0,0.9791555304498445
CondAE,DDX5,0.651871919631958,0.5913935899734497,0.55,1.0,0.7296974651703606
CondAE,DDX51,0.9026686549186707,0.8556009531021118,0.8,1.0,0.975743518339154
CondAE,DDX52,0.9020967483520508,0.8570916056632996,0.75,1.0,0.9712245613615416
CondAE,DDX55,0.8972672820091248,0.8303451538085938,0.8,1.0,0.9765577799853221
CondAE,DDX56,0.8424771428108215,0.7753397226333618,0.75,1.0,0.9639962666413303
CondAE,DDX6,0.6365950107574463,0.587162971496582,0.4,0.95,0.8017070058450205
CondAE,DENR,0.6562314629554749,0.5505759716033936,0.6,1.0,0.9238599519644554
CondAE,DERL2,0.8784691691398621,0.8155117630958557,0.65,1.0,0.9861058909542005
CondAE,DESI1,0.5939695239067078,0.5387235283851624,0.35,0.95,0.768666875457613
CondAE,DHODH,0.430307000875473,0.3301142752170563,0.45,0.95,0.8135908624692172
CondAE,DHPS,0.5499280691146851,0.46278876066207886,0.4,0.95,0.8419688337840743
CondAE,DHX15,0.8662635684013367,0.8374991416931152,0.55,1.0,0.9641299037100983
